train_id,train_number,train_name,source,destination,current_station,next_station,distance_remaining,speed,current_delay,rain,temperature,hour,day_of_week,historical_delay,congestion_level,previous_train_delay,scheduled_travel_time,section_average_speed,unscheduled_stop,speed_restriction,remaining_travel_time,actual_arrival_time
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Bhopal Jn,Nagpur,89.06,94.69,11.16,0.196,28.7,19,2,23.28,0.069,12.29,76.33,86.93,0,0,70.12,2026-01-03 20:10
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Vijayawada,Gaya Jn,423.91,107.01,14.72,0.058,32.5,3,1,29.05,0.171,3.04,363.35,105.58,0,0,257.29,2026-04-28 07:17
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Karjat,Lonavala,123.28,89.58,20.22,0.21,19.3,1,4,8.7,0.293,6.55,105.67,96.78,0,0,101.71,2026-04-30 02:41
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,289.22,43.14,12.59,0.021,30.5,22,3,4.6,0.347,2.1,247.9,36.44,0,0,454.63,2026-06-23 05:34
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Mumbai Central,Borivali,249.87,38.66,23.55,0.172,36.9,23,1,7.78,0.121,13.2,214.17,30.39,0,1,527.29,2026-05-15 07:47
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,139.73,90.7,18.35,0.218,24.3,18,4,32.94,0.189,0.12,119.77,75.21,0,0,108.5,2026-08-03 19:48
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,115.27,86.54,26.72,0.104,19.1,21,5,15.1,0.035,27.1,98.8,91.24,0,1,112.91,2026-05-23 22:52
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Gaya Jn,Patna Jn,390.78,37.78,16.25,0.018,10.0,15,1,16.35,0.293,1.46,334.95,40.86,0,0,681.34,2026-05-23 02:21
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Kalyan,Karjat,327.82,102.54,20.29,0.067,25.0,18,5,10.95,0.228,0.2,280.98,94.83,1,0,226.93,2026-05-04 21:46
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,193.03,73.75,26.94,0.143,20.8,7,1,11.27,0.536,0.97,165.45,72.98,0,0,190.31,2026-01-01 10:10
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,130.09,81.22,25.32,0.19,29.1,11,6,23.53,0.52,0.2,111.51,66.34,0,0,130.61,2026-02-15 13:10
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,284.81,55.35,44.76,0.537,32.5,14,0,30.85,0.375,12.97,244.12,56.02,1,0,403.22,2026-05-25 20:43
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,484.43,80.61,23.77,0.348,27.4,16,3,24.87,0.444,8.74,415.23,79.41,0,0,437.74,2026-08-27 23:17
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,268.08,72.3,26.51,0.067,37.0,7,5,12.01,0.313,5.13,229.79,74.32,1,0,266.81,2026-05-17 11:26
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Karjat,Lonavala,176.97,81.01,17.51,0.439,28.2,21,4,12.16,0.064,22.78,151.69,73.86,0,0,157.24,2026-04-01 23:37
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,183.62,75.78,40.07,0.686,25.5,17,3,25.09,0.508,8.97,157.39,60.29,0,0,204.88,2026-04-23 20:24
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Mumbai Central,Borivali,213.36,59.74,10.52,0.237,28.4,2,4,1.61,0.437,5.66,182.88,67.32,0,0,251.17,2026-04-29 06:11
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,254.89,65.51,7.48,0.17,31.4,1,5,17.78,0.174,6.09,218.48,63.71,0,0,254.74,2026-03-31 05:14
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,New Delhi,Bhopal Jn,144.44,87.22,10.65,0.041,25.8,20,0,14.6,0.114,5.98,123.81,85.36,0,0,108.27,2026-08-14 21:48
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,382.88,81.81,25.07,0.228,36.4,22,6,9.99,0.363,0.72,328.18,76.11,0,0,331.45,2026-04-08 03:31
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Karjat,Lonavala,219.78,110.57,7.03,0.053,28.2,14,3,12.27,0.293,11.81,188.38,107.27,0,0,135.1,2026-02-06 16:15
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,86.83,91.18,17.35,0.098,40.6,22,5,12.23,0.495,13.24,74.43,90.71,0,0,73.34,2026-06-27 23:13
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vapi,Surat,220.34,89.74,9.0,0.578,20.9,10,1,10.7,0.182,11.83,188.87,94.67,0,0,172.79,2026-02-01 12:52
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,224.17,98.0,22.34,0.076,33.6,14,5,5.7,0.503,12.57,192.14,93.7,0,0,166.42,2026-07-24 16:46
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,105.95,77.41,25.5,0.197,38.2,23,4,28.78,0.456,6.62,90.81,76.79,0,0,104.19,2026-07-16 00:44
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,83.05,79.99,21.85,0.177,28.8,9,1,3.48,0.534,12.14,71.19,86.35,0,0,82.46,2026-06-09 10:22
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,212.38,85.88,31.09,0.361,18.5,23,6,31.84,0.302,21.74,182.04,86.7,0,0,190.55,2026-07-18 02:10
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,262.97,84.91,18.02,0.142,13.3,3,1,10.8,0.286,20.32,225.41,85.2,0,0,213.85,2026-07-17 06:33
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Surat,Vadodara,46.62,63.05,18.34,0.302,29.9,11,6,21.92,0.226,7.01,39.96,53.55,0,0,57.55,2026-06-06 11:57
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,125.12,129.06,22.37,0.022,16.8,17,2,14.93,0.572,10.07,107.24,130.0,0,0,73.81,2026-05-15 18:13
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,264.7,71.9,22.38,0.596,38.4,21,6,3.81,0.523,10.09,226.89,66.2,0,0,303.57,2026-01-25 02:03
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,338.42,70.91,14.72,0.004,37.0,6,4,23.16,0.284,10.97,290.07,75.44,0,0,311.31,2026-05-07 11:11
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Dadar,Kalyan,230.09,57.56,16.16,0.228,35.3,11,5,9.51,0.217,5.95,197.22,51.19,0,0,268.29,2026-06-01 15:28
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,321.52,113.27,15.71,0.122,32.6,7,1,20.45,0.186,21.22,275.59,113.46,0,0,196.46,2026-05-24 10:16
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,195.89,27.25,1.07,0.02,29.2,13,4,9.66,0.037,8.81,167.9,20.0,0,0,437.46,2026-02-08 20:17
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,37.97,91.58,4.2,0.067,32.0,8,5,11.35,0.325,1.11,32.55,91.41,0,0,30.39,2026-07-29 08:30
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,255.4,72.28,23.27,0.116,32.6,11,6,11.24,0.51,10.15,218.92,90.75,0,0,256.64,2026-07-29 15:16
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Vijayawada,Gaya Jn,207.7,87.37,26.63,0.278,26.2,7,5,25.21,0.072,14.2,178.03,98.0,0,0,168.81,2026-04-17 09:48
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Kalyan,Karjat,329.67,39.68,22.22,0.142,25.8,19,6,2.19,0.215,18.61,282.57,34.31,0,0,547.82,2026-04-04 04:07
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,296.76,87.66,32.56,0.087,32.6,3,4,19.37,0.097,33.67,254.36,80.84,0,0,231.23,2026-05-31 06:51
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Surat,Vadodara,223.24,70.39,22.97,0.238,26.1,22,5,6.23,0.305,8.65,191.34,60.41,0,0,223.08,2026-02-16 01:43
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Kota Jn,New Delhi,95.78,71.83,7.32,0.084,25.2,1,6,12.19,0.191,7.6,82.1,66.03,0,0,90.64,2026-04-13 02:30
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,224.66,45.07,6.34,0.181,42.7,19,0,9.69,0.079,10.34,192.56,51.3,0,0,320.42,2026-08-19 00:20
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Gaya Jn,Patna Jn,259.92,61.44,28.12,0.091,19.7,11,3,7.87,0.376,9.37,222.79,61.1,0,0,299.06,2026-07-16 15:59
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Dadar,Kalyan,289.18,31.06,15.6,0.214,26.4,3,5,9.41,0.084,17.99,247.86,35.5,0,0,601.76,2026-08-07 13:01
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,540.9,91.48,15.78,0.171,22.4,20,4,17.85,0.4,3.28,463.63,86.46,0,0,416.76,2026-03-14 02:56
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,203.67,78.08,29.56,0.039,28.2,19,5,17.18,0.219,1.17,174.57,60.36,1,0,198.16,2026-07-06 22:18
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Kota Jn,New Delhi,289.46,72.37,21.0,0.202,22.9,12,0,18.57,0.045,8.66,248.11,81.44,0,0,255.16,2026-08-24 16:15
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,New Delhi,Bhopal Jn,415.83,79.3,24.6,0.211,48.0,4,2,16.97,0.209,11.45,356.43,80.84,0,0,346.32,2026-07-23 09:46
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,265.97,48.16,23.07,0.25,26.6,5,6,19.23,0.149,4.42,227.97,47.21,0,0,368.89,2026-06-28 11:08
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,166.78,86.8,14.83,0.018,20.3,18,2,7.36,0.374,7.01,142.95,74.01,0,0,136.79,2026-06-03 20:16
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,81.72,83.02,7.58,0.137,24.2,18,5,11.93,0.297,4.07,70.05,78.76,0,0,70.67,2026-01-08 19:10
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vapi,Surat,621.14,79.48,9.62,0.236,35.2,18,0,8.19,0.106,12.03,532.4,74.81,0,0,507.18,2026-08-03 02:27
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,363.6,60.42,17.76,0.106,27.8,5,3,3.3,0.534,14.76,311.66,61.31,0,0,439.24,2026-05-06 12:19
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,101.08,57.96,15.59,0.108,35.7,20,2,39.94,0.218,2.22,86.64,52.92,0,0,116.2,2026-05-14 21:56
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,107.73,54.81,33.82,0.104,30.1,9,6,15.63,0.68,21.4,92.34,46.94,0,0,166.56,2026-04-29 11:46
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,83.1,97.34,7.54,0.018,24.1,23,6,12.93,0.056,5.21,71.23,101.16,0,0,56.02,2026-02-10 23:56
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,63.27,81.02,28.59,0.33,33.4,20,2,21.16,0.307,12.34,54.23,79.21,0,0,68.14,2026-02-18 21:08
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Mumbai Central,Borivali,271.16,76.94,15.98,0.074,18.8,7,0,13.67,0.185,4.79,232.42,74.54,0,0,234.24,2026-02-24 10:54
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Kota Jn,New Delhi,201.19,83.65,19.91,0.305,32.7,13,2,15.92,0.139,3.95,172.45,69.03,0,0,174.14,2026-05-12 15:54
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,81.07,106.29,9.3,0.116,35.2,8,6,4.7,0.427,5.41,69.49,102.69,0,0,54.68,2026-04-25 08:54
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,296.8,88.62,15.5,0.196,7.6,4,0,26.97,0.103,1.15,254.4,97.65,0,0,215.66,2026-05-28 07:35
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,122.6,91.11,17.49,0.04,23.3,23,4,4.03,0.086,4.82,105.09,84.14,0,0,91.99,2026-05-30 00:31
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,72.51,79.74,16.44,0.13,26.3,6,1,19.0,0.208,6.44,62.15,77.28,0,0,73.78,2026-06-15 07:13
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,320.83,79.78,38.27,0.231,29.4,8,5,6.62,0.479,9.85,275.0,80.48,1,0,317.7,2026-03-24 13:17
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,164.48,65.06,31.73,0.455,32.4,15,0,41.4,0.153,6.93,140.98,59.77,0,0,187.55,2026-04-26 18:07
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,141.15,73.46,14.31,0.13,32.6,12,1,14.54,0.073,4.41,120.98,80.85,0,0,134.61,2026-01-08 14:14
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,96.54,89.53,18.54,0.018,28.4,11,2,8.86,0.476,3.78,82.75,91.71,0,0,81.7,2026-07-13 12:21
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Karjat,Lonavala,350.47,86.68,20.36,0.171,27.8,4,2,1.16,0.389,9.98,300.4,94.85,0,0,286.39,2026-04-03 08:46
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,155.33,79.29,12.89,0.361,38.8,12,3,2.31,0.282,13.29,133.14,70.91,0,0,141.56,2026-07-04 14:21
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,282.09,79.37,38.18,0.166,22.3,9,3,13.05,0.331,33.25,241.8,80.15,0,0,256.6,2026-03-03 13:16
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,140.39,80.48,31.15,0.112,23.1,23,2,25.53,0.275,7.86,120.34,71.87,0,1,164.5,2026-05-25 01:44
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Bhopal Jn,Nagpur,139.49,58.64,22.54,0.323,22.0,7,4,10.47,0.118,9.4,119.56,63.46,0,1,217.44,2026-04-19 10:37
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Vijayawada,Gaya Jn,67.9,36.71,16.78,0.334,28.3,15,4,1.88,0.312,7.09,58.2,35.29,0,0,138.08,2026-04-03 17:18
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Dadar,Kalyan,187.89,84.63,21.21,0.454,28.1,23,0,7.69,0.282,7.62,161.04,75.83,0,0,165.83,2026-05-03 01:45
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,578.82,85.67,23.51,0.062,25.9,5,1,6.62,0.065,15.06,496.13,79.71,1,0,444.47,2026-08-22 12:24
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vadodara,Ahmedabad Jn,210.43,22.61,23.83,0.622,29.0,22,0,18.9,0.385,11.73,180.37,25.94,0,0,703.39,2026-02-14 09:43
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Vadodara,Kota Jn,234.9,46.88,63.2,0.157,30.5,1,1,53.4,0.779,0.94,201.34,43.47,1,0,431.82,2026-07-28 08:11
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Vijayawada,Chennai Central,144.59,68.27,31.93,0.122,37.0,20,2,23.82,0.558,20.15,123.94,65.96,0,0,175.77,2026-02-06 22:55
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Guntakal Jn,Vijayawada,271.8,100.09,41.26,0.299,17.1,12,3,12.99,0.223,7.56,232.97,106.84,1,0,213.02,2026-02-06 15:33
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,199.04,53.66,20.99,0.266,19.7,8,1,14.94,0.142,18.13,170.6,50.85,0,0,261.34,2026-03-01 12:21
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Dadar,Kalyan,375.3,55.57,21.04,0.705,23.1,2,5,12.46,0.411,13.47,321.68,50.66,0,0,525.14,2026-06-01 10:45
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Vapi,Surat,214.87,90.53,8.28,0.15,24.9,10,4,16.45,0.094,2.75,184.17,71.55,0,0,149.8,2026-06-22 12:29
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,76.63,99.42,24.58,0.159,35.9,14,1,8.22,0.545,26.69,65.68,100.24,0,0,63.51,2026-03-31 15:03
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,78.16,81.08,20.64,0.049,25.4,2,4,22.96,0.407,4.07,66.99,77.8,0,0,79.22,2026-06-13 03:19
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Vijayawada,Gaya Jn,68.96,47.29,15.63,0.052,28.1,10,2,9.34,0.159,11.51,59.11,48.99,0,0,98.55,2026-08-07 11:38
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,133.49,74.21,31.89,0.351,33.7,22,3,22.91,0.239,16.71,114.42,69.83,0,0,139.77,2026-02-12 00:19
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Mumbai CST,Dadar,357.43,101.79,17.3,0.074,33.6,6,2,8.15,0.365,21.04,306.37,116.05,0,0,236.19,2026-01-04 09:56
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,308.08,66.83,15.38,0.216,21.9,1,5,2.62,0.314,11.94,264.07,73.13,0,0,316.89,2026-08-08 06:16
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Mumbai Central,Surat,543.39,86.0,23.6,0.451,38.0,3,3,17.39,0.074,19.62,465.76,87.61,0,0,419.44,2026-07-17 09:59
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,New Delhi,Bhopal Jn,598.11,107.42,12.06,0.04,34.8,6,5,17.16,0.257,15.62,512.66,112.41,0,0,374.0,2026-07-02 12:14
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Bengaluru,Guntakal Jn,312.51,56.9,22.53,0.11,36.3,10,1,5.48,0.701,13.85,267.86,52.08,0,0,411.52,2026-04-28 16:51
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Dadar,Kalyan,219.13,58.03,21.71,0.21,38.3,13,5,12.9,0.592,2.36,187.83,67.69,0,0,286.14,2026-06-11 17:46
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Lonavala,Pune Jn,159.38,73.07,23.74,0.384,20.6,20,2,15.08,0.076,2.89,136.61,65.46,0,1,194.6,2026-03-01 23:14
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,148.97,43.57,16.48,0.133,24.7,8,4,11.01,0.234,22.84,127.69,53.43,0,0,234.85,2026-04-21 11:54
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,89.66,36.36,29.86,0.071,34.7,18,3,14.89,0.457,2.77,76.85,45.85,0,1,233.35,2026-06-11 21:53
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,New Delhi,Bhopal Jn,27.81,72.51,13.68,0.147,35.3,20,5,15.23,0.262,0.7,23.84,65.27,0,0,39.43,2026-01-25 20:39
TR00006,12295,Sanghamitra Express,Bengaluru,Patna Jn,Vijayawada,Gaya Jn,111.12,113.0,24.76,0.088,32.5,1,4,2.12,0.228,17.53,95.25,119.0,0,1,91.65,2026-01-29 02:31
TR00001,12123,Mumbai - Pune Express,Mumbai CST,Pune Jn,Kalyan,Karjat,233.34,48.65,12.41,0.112,24.2,13,5,1.98,0.289,13.83,200.01,46.7,0,0,320.39,2026-07-15 18:20
TR00002,11010,Deccan Express,Mumbai CST,Pune Jn,Kalyan,Lonavala,290.25,85.24,18.02,0.317,27.6,8,1,9.21,0.166,6.32,248.79,90.65,0,0,232.26,2026-04-14 11:52
TR00003,12010,Shatabdi Express,Mumbai Central,Ahmedabad Jn,Borivali,Vapi,154.03,96.34,38.71,0.398,24.0,7,6,9.91,0.501,4.08,132.03,102.57,0,1,178.73,2026-02-22 09:58
TR00004,12951,Mumbai Rajdhani,Mumbai Central,New Delhi,Surat,Vadodara,256.16,52.31,20.37,0.049,31.5,5,0,19.92,0.145,17.97,219.57,56.96,0,0,314.75,2026-04-03 10:14
TR00005,12622,Tamil Nadu Express,New Delhi,Chennai Central,Nagpur,Vijayawada,161.01,92.3,17.35,0.123,28.9,16,0,6.09,0.278,11.95,138.01,82.24,0,0,129.57,2026-06-11 18:09
